Name,Alignment,Deified As:,Celestial Bureau,Death Described?,Different from Shu Edition?,"Deified in-story, but missing in Chapter 99?","Listed in Chapter 99, Absent from story?"
Bu Tong,10k Formation,Tian Pingxing,36 Heavenly Stars,FALSE,TRUE,TRUE,TRUE
Yao Gong,10k Formation,Tian Zuixing,36 Heavenly Stars,FALSE,FALSE,FALSE,TRUE
Tang Tianzheng,10k Formation,Tian Sunxing,36 Heavenly Stars,FALSE,FALSE,FALSE,TRUE
Shen Li,10k Formation,Tian Baixing,36 Heavenly Stars,FALSE,FALSE,FALSE,TRUE
Wen Jie,10k Formation,Tian Laoxing,36 Heavenly Stars,FALSE,FALSE,FALSE,TRUE
Zhang Zhixiong,10k Formation,Tian Huixing,36 Heavenly Stars,FALSE,FALSE,FALSE,TRUE
Bi De,10k Formation,Tian Baoxing,36 Heavenly Stars,FALSE,FALSE,FALSE,TRUE
Liu Da,10k Formation,Tian Kuixing,36 Heavenly Stars,FALSE,FALSE,FALSE,TRUE
Cheng Sanyi,10k Formation,Tian Qiaoxing,36 Heavenly Stars,FALSE,FALSE,FALSE,TRUE
Chen Jizhen,10k Formation,Di Kuixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Huang Jingyuan,10k Formation,Di Shaxing,72 Earthly Stars,FALSE,TRUE,FALSE,TRUE
Jia Cheng,10k Formation,Di Yongxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Hu Baiyan,10k Formation,Di Jiexing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Lu Xiude,10k Formation,Di Xiongxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Xu Cheng,10k Formation,Di Weixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Sun Xiang,10k Formation,Di Yingxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Wang Ping,10k Formation,Di Qixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Bai Youhuan,10k Formation,Di Mengxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Ge Gao,10k Formation,Di Wenxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Kao Ge,10k Formation,Di Zhengxing,72 Earthly Stars,FALSE,TRUE,FALSE,TRUE
Li Sui,10k Formation,Di Pixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Liu Heng,10k Formation,Di Hexing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Xia Xiang,10k Formation,Di Qiangxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Yu Hui,10k Formation,Di Anxing,72 Earthly Stars,FALSE,FALSE,TRUE,TRUE
Bao Long,10k Formation,Di Zhouxing,72 Earthly Stars,FALSE,FALSE,TRUE,TRUE
Lu Zhi,10k Formation,Di Huixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Huang Bingqing,10k Formation,Di Zuoxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Zhang Qi,10k Formation,Di Youxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Guo Si,10k Formation,Di Lingxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Jin Nandao,10k Formation,Di Shouxing,72 Earthly Stars,FALSE,TRUE,TRUE,TRUE
Chen Yuan,10k Formation,Di Weixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Che Kun,10k Formation,Di Huixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Sang Chengdao,10k Formation,Di Baoxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Zhou Geng,10k Formation,Di Moxing,72 Earthly Stars,FALSE,TRUE,FALSE,TRUE
Qi Gong,10k Formation,Di Changxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Huo Zhiyuan,10k Formation,Di Kuangxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Ye Zhong,10k Formation,Di Feixing,72 Earthly Stars,FALSE,TRUE,TRUE,TRUE
Gu Zong,10k Formation,Di Zouxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Li Chang,10k Formation,Di Qiaoxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Fang Ji,10k Formation,Di Mingxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Xu Ji,10k Formation,Di Jinxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Fan Huan,10k Formation,Di Tuixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Zhuo Gong,10k Formation,Di Manxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Kong Cheng,10k Formation,Di Suixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Yao Jinxiu,10k Formation,Di Zhouxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Ning Sanyi,10k Formation,Di Yinxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Yu Zhi,10k Formation,Di Yixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Tong Zhen,10k Formation,Di Lixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Yuan Dingxiang,10k Formation,Di Junxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Wang Xiang,10k Formation,Di Lexing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Geng Yan,10k Formation,Di Jiexing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Xing Sanluan,10k Formation,Di Suxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Jiang Zhong,10k Formation,Di Zhenxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Kong Tianzhao,10k Formation,Di Jixing,72 Earthly Stars,FALSE,TRUE,FALSE,TRUE
Li Yue,10k Formation,Di Moxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Gong Qian,10k Formation,Di Yaoxing,72 Earthly Stars,FALSE,TRUE,FALSE,TRUE
Duan Qing,10k Formation,Di Youxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Men Daozheng,10k Formation,Di Fuxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Zu Lin,10k Formation,Di Pixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Xiao Dian,10k Formation,Di Kongxing,72 Earthly Stars,FALSE,FALSE,TRUE,TRUE
Wu Siyu,10k Formation,Di Guxing,72 Earthly Stars,FALSE,FALSE,TRUE,TRUE
Kuang Yu,10k Formation,Di Quanxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Cai Gong,10k Formation,Di Duanxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Lan Hu,10k Formation,Di Jiaoxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Song Lu,10k Formation,Di Qiuxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Guan Bin,10k Formation,Di Zangxing,72 Earthly Stars,FALSE,FALSE,TRUE,TRUE
Long Cheng,10k Formation,Di Pingxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Huang Wu,10k Formation,Di Sunxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Kong Daoling,10k Formation,Di Nuxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Zhang Huan,10k Formation,Di Chaxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Li Xin,10k Formation,Di Exing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Xu Shan,10k Formation,Di Hunxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Ge Fang,10k Formation,Di Shuxing,72 Earthly Stars,FALSE,FALSE,TRUE,TRUE
Jiao Long,10k Formation,Di Yinxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Qin Xiang,10k Formation,Di Xingxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Wu Yangong,10k Formation,Di Zhuangxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Fan Bin,10k Formation,Di Liexing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Ye Jingchang,10k Formation,Di Jianxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Yao Ye,10k Formation,Di Haoxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Sun Ji,10k Formation,Di Zeixing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Chen Menggeng,10k Formation,Di Gouxing,72 Earthly Stars,FALSE,FALSE,FALSE,TRUE
Chong Yingbiao (³çÓ¦±ë),Unclear,Nine Luminaries,Dipper Mansion,TRUE,FALSE,FALSE,TRUE
Gao Xiping (¸ßÏµÆ½),10k Formation,Nine Luminaries,Dipper Mansion,FALSE,FALSE,FALSE,TRUE
Han Peng (º«Åô),10k Formation,Nine Luminaries,Dipper Mansion,FALSE,FALSE,FALSE,TRUE
Li Ji (Àî¼Ã),10k Formation,Nine Luminaries,Dipper Mansion,FALSE,FALSE,FALSE,TRUE
Wang Feng (Íõ·â),10k Formation,Nine Luminaries,Dipper Mansion,FALSE,FALSE,FALSE,TRUE
Liu Jin (Áõ½û),10k Formation,Nine Luminaries,Dipper Mansion,FALSE,FALSE,FALSE,TRUE
Wang Chu (Íõ´¢),10k Formation,Nine Luminaries,Dipper Mansion,FALSE,FALSE,FALSE,TRUE
Peng Jiuyuan (Åí¾ÅÔª),10k Formation,Nine Luminaries,Dipper Mansion,FALSE,FALSE,FALSE,TRUE
Li Sanyi (ÀîÈýÒæ),10k Formation,Nine Luminaries,Dipper Mansion,FALSE,FALSE,FALSE,TRUE
Lu Xiong (Â³ÐÛ),Shang,Star Lord of Water Virtues,Water Bureau,TRUE,FALSE,FALSE,FALSE
Yang Zhen (ÑîÕæ),Jie,Water Leopard Mansion,Water Bureau - Lunar Mansion,TRUE,FALSE,FALSE,TRUE
Fang Jiqing (·½¼ªÇå),Jie,Water Pangolin Mansion,Water Bureau - Lunar Mansion,TRUE,FALSE,FALSE,TRUE
Sun Xiang (ËïÏé),Jie,Water Ape Mansion,Water Bureau - Lunar Mansion,TRUE,FALSE,FALSE,TRUE
Hu Daoyuan (ºúµÀÔª),Jie,Water Earthworm Mansion,Water Bureau - Lunar Mansion,TRUE,FALSE,FALSE,TRUE
Yin Jiao (Òó½¼),Ex-Chan,Taisui Lord of the Year,Taisui Mansion,TRUE,FALSE,FALSE,FALSE
Yang Ren (ÑîÈÎ),Chan,Jiazi Taisui,Taisui Mansion,TRUE,FALSE,FALSE,FALSE
Wen Liang (ÎÂÁ¼),Shang,Day Patrol God,Taisui Mansion,TRUE,TRUE,FALSE,FALSE
Qiao Kun (ÇÇÀ¤),Chan,Night Patrol God,Taisui Mansion,TRUE,TRUE,FALSE,FALSE
Han Dulong (º«¶¾Áú),Chan,God of Increasing Fortune,Taisui Mansion,TRUE,FALSE,FALSE,FALSE
Xue E'hu (Ñ¦¶ñ»¢),Chan,God of Decreasing Fortune,Taisui Mansion,TRUE,FALSE,FALSE,FALSE
Fang Bi (·½åö),Zhou,God of Manifesting Path,Taisui Mansion,TRUE,FALSE,FALSE,FALSE
Fang Xiang (·½Ïà),Zhou,God of Opening Path,Taisui Mansion,TRUE,FALSE,FALSE,FALSE
Li Bing (Àî±û),10k Formation,God of the Year,Taisui Mansion,FALSE,FALSE,FALSE,TRUE
Huang Chengyi (»Æ³ÐÒÒ),10k Formation,God of the Month,Taisui Mansion,FALSE,FALSE,FALSE,TRUE
Zhou Deng (ÖÜµÇ),10k Formation,God of the Day,Taisui Mansion,FALSE,FALSE,FALSE,TRUE
Liu Hong (Áõºé),10k Formation,God of the Hour,Taisui Mansion,FALSE,FALSE,FALSE,TRUE
Wang Mo (ÍõÄ§),Jie,Guardian of Lingxiao Palace,Four Holy Grand Marshals,TRUE,FALSE,FALSE,FALSE
Yang Sen (ÑîÉ­),Jie,Guardian of Lingxiao Palace,Four Holy Grand Marshals,TRUE,FALSE,FALSE,FALSE
Gao Tiqian (¸ßÌåÇ¬),Jie,Guardian of Lingxiao Palace,Four Holy Grand Marshals,TRUE,FALSE,FALSE,FALSE
Li Xingba (ÀîÐË°Ô),Jie,Guardian of Lingxiao Palace,Four Holy Grand Marshals,TRUE,FALSE,FALSE,FALSE
Zhao Gongming (ÕÔ¹«Ã÷),Jie,Zhengyi Dragon-Tiger True Sage of the Black Altar,Golden Dragon Ruyi Gods,TRUE,FALSE,FALSE,FALSE
Xiao Sheng (Ïô•N),Chan,Heavenly Venerable of Treasure-Summoning,Golden Dragon Ruyi Gods,TRUE,FALSE,FALSE,FALSE
Cao Bao (²Ü±¦),Chan,Heavenly Venerable of Preciousness-Collecting,Golden Dragon Ruyi Gods,TRUE,FALSE,FALSE,FALSE
Chen Jiugong (³Â¾Å¹«),Jie,Wealth-Attracting Emissary,Golden Dragon Ruyi Gods,TRUE,TRUE,FALSE,FALSE
Yao Shaosi (Ò¦ÉÙË¾),Jie,Market-Beneficient Immortal Official,Golden Dragon Ruyi Gods,TRUE,TRUE,FALSE,FALSE
Mo Liqing (Ä§ÀñÇà),Jie,Virudhaka,Four Heavenly Kings,TRUE,FALSE,FALSE,FALSE
Mo Lihong (Ä§Àñºì),Jie,Virupaksa,Four Heavenly Kings,TRUE,FALSE,FALSE,FALSE
Mo Lihai (Ä§Àñº£),Jie,Vaisravana,Four Heavenly Kings,TRUE,FALSE,FALSE,FALSE
Mo Lishou (Ä§ÀñÊÙ),Jie,Dhrtarastra,Four Heavenly Kings,TRUE,FALSE,FALSE,FALSE
Zheng Lun (Ö£Â×),Unclear,General Heng,Generals of Heng and Ha,TRUE,FALSE,FALSE,FALSE
Chen Qi (³ÂÆæ),Shang,General Ha,Generals of Heng and Ha,TRUE,FALSE,FALSE,FALSE
Yu Hualong (Óà»¯Áú),Shang,Bixia Yuanjun,Pox Gods,TRUE,FALSE,FALSE,FALSE
Lady Jin (½ðÊÏ),Unknown,House-Protecting Holy Mother,Pox Gods,FALSE,FALSE,FALSE,TRUE
Yu Da (Óà´ï),Shang,Pox God of the East,Pox Gods,TRUE,FALSE,FALSE,FALSE
Yu Zhao (ÓàÕ×),Shang,Pox God of the West,Pox Gods,TRUE,FALSE,FALSE,FALSE
Yu Guang (Óà¹â),Shang,Pox God of the South,Pox Gods,TRUE,FALSE,FALSE,FALSE
Yu Xian (ÓàÏÈ),Shang,Pox God of the North,Pox Gods,TRUE,FALSE,FALSE,FALSE
Yu De (ÓàµÂ),Shang,Pox God of the Center,Pox Gods,TRUE,FALSE,FALSE,FALSE
Lady Yunxiao (ÔÆÏöÄïÄï),Jie,Celestial Ladies of Sensitivity and Harmony,Celestial Ladies of Sensitivity and Harmony,TRUE,FALSE,FALSE,FALSE
Lady Bixiao (±ÌÏöÄïÄï),Jie,Celestial Ladies of Sensitivity and Harmony,Celestial Ladies of Sensitivity and Harmony,TRUE,FALSE,FALSE,FALSE
Lady Qiongxiao (ÇíÏöÄïÄï),Jie,Celestial Ladies of Sensitivity and Harmony,Celestial Ladies of Sensitivity and Harmony,TRUE,FALSE,FALSE,FALSE
Shen Gongbao (Éê¹«±ª),Unclear,Water-Dividing General of the East Sea,Water-Dividing General of the East Sea,TRUE,FALSE,FALSE,FALSE
Fei Lian (·ÉÁ®),Unclear,God of Ice Dissolution,God of Ice Dissolution,TRUE,FALSE,FALSE,FALSE
E Lai (¶ñÀ´),Unclear,God of Ice Dissolutio ,God of Ice Dissolution,TRUE,FALSE,FALSE,FALSE
Colored Cloud Immortal (²ÊÔÆÏÉ×Ó),Jie,N/A,N/A,TRUE,FALSE,TRUE,FALSE
Gao Ming (¸ßÃ÷),Shang,Shenshu ,N/A,TRUE,FALSE,TRUE,FALSE
Gao Jue (¸ß¾õ),Shang,Yulei,N/A,TRUE,FALSE,TRUE,FALSE
